chmod,throughput
"(0,0,100)",5770
"(0,0,100)",6329.113924050633
"(0,0,100)",5285.412262156448
"(0,100,0)",725
"(0,100,0)",713
"(0,100,0)",824
"(1,99,0)",232.0185614849188
"(1,99,0)",237.23666729929778
"(1,99,0)",245.784790837143
"(1,49,50)",2763.14
"(1,49,50)",3280.802929
"(1,49,50)",2756.39522621
"(1,19,80)",4272.41333641
"(1,19,80)",5109.9902495
"(1,19,80)",4660.08352668
"(100,0,0)",25.84259152
"(100,0,0)",0.71530758226
"(100,0,0)",0.25866528711
"(1,9,90)",5717.34262809
"(1,9,90)",5214.35388671
"(1,9,90)",4777.75529313
